year,msci_world_usd_tr_pct
1970,-1.98
1971,19.56
1972,23.55
1973,-14.51
1974,-24.48
1975,34.5
1976,14.71
1977,5.0
1978,18.22
1979,12.67
1980,27.72
1981,-3.3
1982,11.27
1983,23.28
1984,5.77
1985,41.77
1986,42.8
1987,16.76
1988,23.95
1989,17.19
1990,-16.52
1991,18.97
1992,-4.66
1993,23.13
1994,5.58
1995,21.32
1996,14.0
1997,16.23
1998,24.8
1999,25.34
2000,-12.92
2001,-16.52
2002,-19.54
2003,33.76
2004,15.25
2005,10.02
2006,20.65
2007,9.57
2008,-40.33
2009,30.79
2010,12.34
2011,-5.02
2012,16.54
2013,27.37
2014,5.5
2015,-0.32
2016,8.15
2017,23.07
2018,-8.2
2019,28.4
2020,16.5
2021,22.35
2022,-17.73
2023,24.42
2024,19.19
2025,21.6
