year,stock_nom,bond_nom,cpi
1871,15.6448,5.1486,1.527
1872,11.2347,3.8467,2.2555
1873,-2.4675,6.5574,-4.4121
1874,4.7129,8.7022,-6.9226
1875,5.3542,8.9795,-5.7856
1876,-14.1699,5.7916,0.8774
1877,-1.3361,5.4125,-15.6525
1878,16.2533,5.3819,-10.3088
1879,49.4132,5.9091,20.69
1880,26.6867,6.7058,-5.7146
1881,0.3061,4.4148,8.0808
1882,3.614,3.5994,-1.8687
1883,-5.4846,3.7723,-7.6198
1884,-12.3767,4.4986,-10.3088
1885,29.8957,4.8132,-3.4484
1886,11.94,2.2025,0.0
1887,-0.6287,2.3647,4.7623
1888,3.2902,5.5418,-4.5458
1889,7.0646,3.7511,-4.7619
1890,-6.1584,1.8558,2.5
1891,18.8833,3.8434,-6.0976
1892,6.155,2.4512,7.7923
1893,-18.7969,4.2207,-13.2531
1894,3.5553,5.7374,-4.1666
1895,4.9586,2.3801,1.4492
1896,3.2194,5.3076,-2.8571
1897,20.3732,3.8648,2.9412
1898,29.3421,5.4893,1.4286
1899,3.6805,2.7307,16.9014
1900,20.9518,3.6114,-2.4097
1901,19.4644,2.4837,2.4692
1902,8.2884,2.2413,9.6386
1903,-17.0872,2.5321,-4.3956
1904,32.1017,2.8007,2.2983
1905,21.3055,3.9461,0.0
1906,0.6989,1.5481,4.4944
1907,-24.1829,2.1302,-2.1501
1908,39.4236,4.8306,3.2964
1909,16.1882,2.6244,10.6387
1910,-3.3794,3.4209,-6.7313
1911,3.5209,3.8135,-1.0303
1912,7.1793,0.6578,7.2914
1913,-4.7377,6.8626,2.0408
1914,-5.4699,3.6071,1.0
1915,31.219,5.8474,2.9703
1916,8.2342,2.704,12.5
1917,-18.538,1.6719,19.6581
1918,18.0649,5.217,17.8571
1919,19.6281,1.0095,16.9697
1920,-13.9772,4.1673,-1.5544
1921,10.0825,11.5626,-11.0526
1922,29.1281,3.913,-0.5917
1923,5.4573,6.8592,2.9762
1924,27.1165,5.7534,0.0
1925,25.8727,5.3943,3.4682
1926,11.5647,6.5594,-2.2346
1927,37.1595,3.4739,-1.1429
1928,47.6212,1.1982,-1.1561
1929,-9.427,6.2317,0.0
1930,-22.7271,2.9295,-7.0175
1931,-44.2641,0.6557,-10.0629
1932,-6.1641,6.8137,-9.7902
1933,56.6645,4.9436,2.3256
1934,-8.0049,5.9612,3.0303
1935,54.9564,4.0138,1.4706
1936,32.7169,2.4292,2.1739
1937,-32.0824,3.7347,0.7092
1938,17.2736,4.3103,-1.4085
1939,3.057,3.6823,-0.7143
1940,-8.8789,4.5107,1.4388
1941,-9.0702,-2.3256,11.3475
1942,21.6061,2.4027,7.6433
1943,23.6215,2.413,2.9586
1944,19.692,3.452,2.2989
1945,39.3633,3.9542,2.2472
1946,-12.0326,1.697,18.1319
1947,2.6345,0.66,10.2326
1948,9.5681,3.5859,1.2658
1949,17.6096,2.2489,-2.0833
1950,34.5809,0.2364,8.0851
1951,21.8857,1.6738,4.3307
1952,14.6893,1.4585,0.3774
1953,3.0259,6.0252,1.1278
1954,46.8254,1.2624,-0.7435
1955,28.9401,0.2981,0.3745
1956,6.8774,-1.5863,2.9851
1957,-5.8012,6.9256,3.6232
1958,40.3758,-4.3756,1.3986
1959,7.6476,-1.2951,1.0345
1960,6.5455,11.7971,1.7065
1961,19.0967,1.9236,0.6711
1962,-2.5801,6.1566,1.3333
1963,21.2324,1.2293,1.6447
1964,16.0016,4.0981,0.9709
1965,11.6227,0.9144,1.9231
1966,-6.4022,5.2353,3.4591
1967,16.1221,-2.3125,3.6474
