market,sample_start,sample_end,model,timing,period,stock_pct,rate_pct,n_windows,n_skipped,n_success,success_pct,median_terminal_per_1000,min_terminal_per_1000,failed_starts
germany,1871,2025,inflation_adjusted,start,15,100,3,141,0,132,93.6,1962.0,0.0,1914 1923 1924 1941 1942 1943 1944 1945 1946
germany,1871,2025,inflation_adjusted,start,15,100,4,141,0,121,85.8,1560.0,0.0,1912 1913 1914 1915 1916 1917 1918 1923 1924 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948
germany,1871,2025,inflation_adjusted,start,15,100,5,141,0,115,81.6,1207.0,0.0,1910 1911 1912 1913 1914 1915 1916 1917 1918 1920 1922 1923 1924 1927 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948
germany,1871,2025,inflation_adjusted,start,15,100,6,141,0,104,73.8,881.0,0.0,1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1920 1922 1923 1924 1927 1928 1929 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1961 1962 1970 2000 2001
germany,1871,2025,inflation_adjusted,start,15,100,7,141,0,93,66.0,560.0,0.0,1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1922 1923 1924 1925 1927 1928 1929 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1961 1962 1964 1965 1968 1969 1970 1973 1999 2000 2001 2008
germany,1871,2025,inflation_adjusted,start,15,100,8,141,0,81,57.4,274.0,0.0,1873 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1927 1928 1929 1930 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1960 1961 1962 1963 1964 1965 1966 1968 1969 1970 1971 1972 1973 1998 1999 2000 2001 2002 2007 2008
germany,1871,2025,inflation_adjusted,start,15,100,9,141,0,69,48.9,0.0,0.0,1872 1873 1890 1897 1898 1899 1900 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1927 1928 1929 1930 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1960 1961 1962 1963 1964 1965 1966 1968 1969 1970 1971 1972 1973 1974 1976 1986 1987 1998 1999 2000 2001 2002 2006 2007 2008
germany,1871,2025,inflation_adjusted,start,15,100,10,141,0,47,33.3,0.0,0.0,1871 1872 1873 1874 1882 1884 1885 1887 1889 1890 1891 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1927 1928 1929 1930 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1986 1987 1990 1994 1997 1998 1999 2000 2001 2002 2006 2007 2008 2011
germany,1871,2025,inflation_adjusted,start,15,100,11,141,0,31,22.0,0.0,0.0,1871 1872 1873 1874 1875 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1986 1987 1990 1991 1992 1994 1995 1997 1998 1999 2000 2001 2002 2004 2005 2006 2007 2008 2010 2011
germany,1871,2025,inflation_adjusted,start,15,100,12,141,0,26,18.4,0.0,0.0,1871 1872 1873 1874 1875 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1986 1987 1989 1990 1991 1992 1994 1995 1996 1997 1998 1999 2000 2001 2002 2004 2005 2006 2007 2008 2010 2011
