market,sample_start,sample_end,model,timing,fees_pct,cut_pct,cut_below_pct,early_cut_pct,early_cut_below_pct,early_years,period,stock_pct,rate_pct,n_windows,n_skipped,n_success,success_pct,median_terminal_per_1000,min_terminal_per_1000,failed_starts
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,3,110,16,110,100.0,2242.0,47.0,
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,4,110,16,108,98.2,1976.0,0.0,1990 1991
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,5,110,16,103,93.6,1620.0,0.0,1897 1917 1988 1989 1990 1991 1992
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,6,110,16,94,85.5,1067.0,0.0,1896 1897 1917 1988 1989 1990 1991 1992 1994 1995 1997 1998 2000 2001 2007 2008
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,7,110,16,84,76.4,672.0,0.0,1895 1896 1897 1907 1917 1918 1973 1974 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2006 2007 2008
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,8,110,16,72,65.5,367.0,0.0,1893 1894 1895 1896 1897 1898 1907 1911 1917 1918 1919 1920 1927 1929 1962 1973 1974 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2005 2006 2007 2008 2009
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,9,110,16,59,53.6,44.0,0.0,1890 1893 1894 1895 1896 1897 1898 1900 1907 1908 1911 1916 1917 1918 1919 1920 1921 1927 1928 1929 1930 1961 1962 1963 1964 1973 1974 1975 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,10,110,16,45,40.9,0.0,0.0,1887 1890 1893 1894 1895 1896 1897 1898 1900 1907 1908 1910 1911 1912 1913 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1960 1961 1962 1963 1964 1970 1971 1972 1973 1974 1975 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,11,110,16,33,30.0,0.0,0.0,1887 1888 1889 1890 1893 1894 1895 1896 1897 1898 1900 1906 1907 1908 1910 1911 1912 1913 1914 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1960 1961 1962 1963 1964 1965 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,100,12,110,16,23,20.9,0.0,0.0,1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1906 1907 1908 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,3,110,16,110,100.0,2208.0,243.0,
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,4,110,16,110,100.0,1890.0,88.0,
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,5,110,16,108,98.2,1436.0,0.0,1917 1990
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,6,110,16,101,91.8,989.0,0.0,1897 1917 1988 1989 1990 1991 1992 1997 2001
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,7,110,16,88,80.0,664.0,0.0,1895 1896 1897 1907 1917 1918 1973 1974 1988 1989 1990 1991 1992 1994 1995 1996 1997 1998 2000 2001 2007 2008
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,8,110,16,72,65.5,326.0,0.0,1893 1894 1895 1896 1897 1898 1907 1911 1916 1917 1918 1919 1961 1962 1963 1973 1974 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2005 2006 2007 2008 2009
japan,1886,2025,inflation_adjusted,start,0.8,,,,,,15,75,9,110,16,56,50.9,11.0,0.0,1887 1890 1893 1894 1895 1896 1897 1898 1900 1907 1908 1910 1911 1912 1916 1917 1918 1919 1920 1927 1929 1961 1962 1963 1964 1970 1971 1972 1973 1974 1975 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
