market,sample_start,sample_end,model,timing,cut_pct,cut_below_pct,early_cut_pct,early_cut_below_pct,early_years,period,stock_pct,rate_pct,n_windows,n_skipped,n_success,success_pct,median_terminal_per_1000,min_terminal_per_1000,failed_starts
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,3,126,0,126,100.0,9187.0,1955.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,3.5,126,0,126,100.0,7630.0,1582.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,4,126,0,126,100.0,6112.0,1193.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,4.5,126,0,126,100.0,5234.0,228.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,5,126,0,121,96.0,4464.0,0.0,1929 1965 1966 1968 1969
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,5.5,126,0,114,90.5,3368.0,0.0,1906 1907 1929 1930 1962 1964 1965 1966 1967 1968 1969 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,100,6,126,0,101,80.2,2736.0,0.0,1902 1903 1905 1906 1907 1909 1910 1911 1912 1913 1929 1930 1937 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,3,126,0,126,100.0,6381.0,1976.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,3.5,126,0,126,100.0,5545.0,1542.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,4,126,0,126,100.0,4395.0,1124.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,4.5,126,0,126,100.0,3622.0,73.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,5,126,0,120,95.2,2957.0,0.0,1964 1965 1966 1967 1968 1969
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,5.5,126,0,113,89.7,2469.0,0.0,1902 1906 1907 1909 1962 1963 1964 1965 1966 1967 1968 1969 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,75,6,126,0,96,76.2,1702.0,0.0,1899 1901 1902 1903 1905 1906 1907 1909 1910 1911 1912 1913 1929 1930 1937 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,3,126,0,126,100.0,4176.0,1702.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,3.5,126,0,126,100.0,3433.0,1281.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,4,126,0,126,100.0,2725.0,859.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,4.5,126,0,124,98.4,2037.0,0.0,1965 1966
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,5,126,0,117,92.9,1448.0,0.0,1906 1962 1963 1964 1965 1966 1967 1968 1969
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,5.5,126,0,98,77.8,1034.0,0.0,1899 1901 1902 1903 1905 1906 1907 1909 1910 1911 1912 1937 1956 1957 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1971 1972 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,50,6,126,0,81,64.3,551.0,0.0,1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1916 1929 1936 1937 1939 1940 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,3,126,0,126,100.0,2173.0,1204.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,3.5,126,0,126,100.0,1767.0,823.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,4,126,0,126,100.0,1230.0,391.0,
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,4.5,126,0,116,92.1,840.0,0.0,1937 1940 1956 1961 1962 1963 1964 1965 1966 1967
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,5,126,0,90,71.4,487.0,0.0,1897 1898 1899 1901 1902 1903 1904 1905 1906 1907 1909 1911 1912 1936 1937 1938 1939 1940 1941 1946 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1972
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,5.5,126,0,69,54.8,122.0,0.0,1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1916 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,25,6,126,0,54,42.9,0.0,0.0,1890 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1929 1930 1931 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,0,3,126,0,125,99.2,1217.0,0.0,1941
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,0,3.5,126,0,117,92.9,907.0,0.0,1938 1939 1940 1941 1942 1943 1944 1945 1946
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,0,4,126,0,96,76.2,569.0,0.0,1897 1898 1899 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1950 1954 1955 1956 1957 1958 1961 1962 1963 1964 1965 1966
us,1871,2025,inflation_adjusted,start,20.0,80.0,,,,30,0,4.5,126,0,71,56.3,256.0,0.0,1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1911 1912 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969
