market,sample_start,sample_end,model,timing,fees_pct,cut_pct,cut_below_pct,early_cut_pct,early_cut_below_pct,early_years,period,stock_pct,rate_pct,n_windows,n_skipped,n_success,success_pct,median_terminal_per_1000,min_terminal_per_1000,failed_starts
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,3,126,0,126,100.0,6668.0,1396.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,3.5,126,0,126,100.0,5396.0,1073.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,4,126,0,126,100.0,4302.0,571.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,4.5,126,0,121,96.0,3697.0,0.0,1929 1965 1966 1968 1969
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,5,126,0,115,91.3,2803.0,0.0,1906 1929 1930 1962 1964 1965 1966 1967 1968 1969 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,5.5,126,0,99,78.6,2186.0,0.0,1902 1903 1905 1906 1907 1909 1910 1911 1912 1913 1929 1930 1937 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,100,6,126,0,93,73.8,1681.0,0.0,1899 1901 1902 1903 1905 1906 1907 1909 1910 1911 1912 1913 1914 1916 1928 1929 1930 1937 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,3,126,0,126,100.0,4604.0,1406.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,3.5,126,0,126,100.0,3934.0,1044.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,4,126,0,126,100.0,3006.0,579.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,4.5,126,0,122,96.8,2456.0,0.0,1965 1966 1968 1969
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,5,126,0,115,91.3,2030.0,0.0,1906 1907 1962 1963 1964 1965 1966 1967 1968 1969 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,5.5,126,0,96,76.2,1354.0,0.0,1899 1901 1902 1903 1905 1906 1907 1909 1910 1911 1912 1913 1929 1937 1956 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,75,6,126,0,88,69.8,826.0,0.0,1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1916 1929 1930 1937 1956 1957 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,50,3,126,0,126,100.0,3014.0,1183.0,
us,1871,2025,inflation_adjusted,start,0.8,20.0,80.0,10.0,90.0,10,30,50,3.5,126,0,126,100.0,2393.0,848.0,
