market,sample_start,sample_end,model,timing,cut_pct,cut_below_pct,early_cut_pct,early_cut_below_pct,early_years,period,stock_pct,rate_pct,n_windows,n_skipped,n_success,success_pct,median_terminal_per_1000,min_terminal_per_1000,failed_starts
us,1926,1995,inflation_adjusted,start,,,,,,15,100,3,56,0,56,100.0,3086.0,491.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,100,4,56,0,56,100.0,2514.0,285.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,100,5,56,0,56,100.0,2088.0,78.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,100,6,56,0,48,85.7,1725.0,0.0,1929 1930 1937 1966 1968 1969 1972 1973
us,1926,1995,inflation_adjusted,start,,,,,,15,100,7,56,0,44,78.6,1200.0,0.0,1929 1930 1937 1965 1966 1967 1968 1969 1970 1971 1972 1973
us,1926,1995,inflation_adjusted,start,,,,,,15,100,8,56,0,39,69.6,569.0,0.0,1928 1929 1930 1931 1936 1937 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974
us,1926,1995,inflation_adjusted,start,,,,,,15,100,9,56,0,31,55.4,207.0,0.0,1928 1929 1930 1931 1936 1937 1938 1939 1940 1946 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1976 1977
us,1926,1995,inflation_adjusted,start,,,,,,15,100,10,56,0,28,50.0,1.0,0.0,1928 1929 1930 1931 1934 1936 1937 1938 1939 1940 1941 1946 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1976 1977
us,1926,1995,inflation_adjusted,start,,,,,,15,100,11,56,0,20,35.7,0.0,0.0,1927 1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1946 1956 1957 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978
us,1926,1995,inflation_adjusted,start,,,,,,15,100,12,56,0,14,25.0,0.0,0.0,1926 1927 1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1944 1945 1946 1956 1957 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981
us,1926,1995,inflation_adjusted,start,,,,,,15,75,3,56,0,56,100.0,2351.0,765.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,75,4,56,0,56,100.0,2030.0,562.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,75,5,56,0,56,100.0,1595.0,359.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,75,6,56,0,52,92.9,1124.0,0.0,1968 1969 1972 1973
us,1926,1995,inflation_adjusted,start,,,,,,15,75,7,56,0,44,78.6,770.0,0.0,1929 1937 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974
us,1926,1995,inflation_adjusted,start,,,,,,15,75,8,56,0,39,69.6,320.0,0.0,1929 1930 1936 1937 1939 1940 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974
us,1926,1995,inflation_adjusted,start,,,,,,15,75,9,56,0,28,50.0,46.0,0.0,1928 1929 1930 1931 1934 1936 1937 1938 1939 1940 1941 1946 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1976 1977
us,1926,1995,inflation_adjusted,start,,,,,,15,75,10,56,0,21,37.5,0.0,0.0,1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1945 1946 1956 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978
us,1926,1995,inflation_adjusted,start,,,,,,15,75,11,56,0,16,28.6,0.0,0.0,1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1956 1957 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979
us,1926,1995,inflation_adjusted,start,,,,,,15,75,12,56,0,7,12.5,0.0,0.0,1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981
us,1926,1995,inflation_adjusted,start,,,,,,15,50,3,56,0,56,100.0,1903.0,988.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,50,4,56,0,56,100.0,1430.0,758.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,50,5,56,0,56,100.0,1115.0,398.0,
us,1926,1995,inflation_adjusted,start,,,,,,15,50,6,56,0,52,92.9,780.0,0.0,1968 1969 1972 1973
us,1926,1995,inflation_adjusted,start,,,,,,15,50,7,56,0,43,76.8,513.0,0.0,1937 1939 1940 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974
us,1926,1995,inflation_adjusted,start,,,,,,15,50,8,56,0,34,60.7,191.0,0.0,1936 1937 1938 1939 1940 1941 1946 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1976 1977
us,1926,1995,inflation_adjusted,start,,,,,,15,50,9,56,0,21,37.5,0.0,0.0,1929 1930 1934 1935 1936 1937 1938 1939 1940 1941 1942 1944 1945 1946 1956 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978
us,1926,1995,inflation_adjusted,start,,,,,,15,50,10,56,0,13,23.2,0.0,0.0,1928 1929 1930 1931 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979
